R_norm,G_norm,B_norm,True_R,True_G,True_B
0.2177856947108797,0.33411893669498494,0.3912030693340641,197,198,200
0.2225154459933559,0.3368002732155609,0.3828433046663976,185,186,186
0.21812009335879481,0.39182403281703093,0.3326260697361907,149,221,85
0.17300889698788724,0.30817879729874587,0.4768999892807375,63,89,199
0.42246170530025756,0.26379286973024263,0.2745018300122001,225,97,42
0.22050775993540864,0.28716246523728356,0.44550103166771327,180,103,210
0.26462317210348707,0.34443194600674915,0.33267716535433073,184,184,188
0.21819271691892703,0.3421249812677956,0.38903042109995506,103,104,106
0.19305751916065184,0.33376739340724754,0.4220552124414019,153,166,207
0.20669291338582677,0.328001968503937,0.4015748031496063,101,105,147
0.20042845441371054,0.3623275155944805,0.37678785205721127,66,111,108
0.23346074683916496,0.36224639811820053,0.3554836812702146,85,89,67
0.14306264834927712,0.3102927425735453,0.4929151981586708,0,58,120
0.18774649802801577,0.322453420372637,0.42615259077927375,62,67,99
0.34600532051832145,0.2815583969793186,0.32583883978374667,125,15,6
